OBJECTID_1,FID_neighbourhoods_polygon,neighbourh,text,created,Description,longitude,latitude,hashtag,statusSour
1,12,Bijlmer-Centrum,"hallo uitzicht, nieuwe kamer #view #amsterdam<U+0001F1F3><U+0001F1F1> #stilllife #lookoftheday @ Academisch Medisch Centrum https://t.co/aEMJa5deHu",2019-06-22,tourist,4.95728079,52.29454653,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
2,10,Gaasperdam - Driemond,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Reigersbos Amsterdam
 https://t.co/VNEvmFsQjY",2019-06-19,non-tourist,4.975605,52.29673,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
3,12,Bijlmer-Centrum,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel A9 Re - Gaasperdammerweg Amsterdam
 https://t.co/6vXK6pJsHP",2019-06-20,non-tourist,4.939711,52.299223,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
4,12,Bijlmer-Centrum,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Hullenbergweg Amsterdam
 https://t.co/FXWOxYNsa0",2019-06-17,non-tourist,4.9506373,52.3037928,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
5,12,Bijlmer-Centrum,"It's almost midnight in #Amsterdam on the Summer #Solstice, and there's still light on the horizon. https://t.co/WycVxEmB3I",2019-06-21,tourist,4.94931189,52.30755377,amsterdam,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"
6,12,Bijlmer-Centrum,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Holterbergweg Amsterdam
 https://t.co/aTBUzpCOuF",2019-06-18,non-tourist,4.937718,52.311013,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
7,12,Bijlmer-Centrum,Almost forgot to post from my recent #Netherlandic adventure: Guess who happened to be playing #Amsterdam my first… https://t.co/vZqOPZyvwT,2019-06-17,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
8,12,Bijlmer-Centrum,"Bier en boyband, op volgorde van belangrijkheid. Als decadente VIP’s bij takethat! #bier #takethat #live #afaslive… https://t.co/GSVmraUpgn",2019-06-17,non-tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
9,12,Bijlmer-Centrum,Hilarisch foute avond bij takethat <U+0001F602> #takethat #waarisrobbie #afaslive #amsterdam #boyband @ AFAS Live https://t.co/GOiuTXLjxf,2019-06-17,non-tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
10,12,Bijlmer-Centrum,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen… https://t.co/9D5HZU9Tn9,2019-06-18,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
11,12,Bijlmer-Centrum,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen… https://t.co/KFBWX98cVh,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
12,12,Bijlmer-Centrum,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen… https://t.co/9NXNc7UegX,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
13,12,Bijlmer-Centrum,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen… https://t.co/RXsCXQA4Sm,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
24,12,Bijlmer-Centrum,#AMSTERDAM We hear you &amp; we’re heading your way!! Catch us on June 30th at the @OHMyMusicFest along with @TreySongz… https://t.co/gwfl9wVLCT,2019-06-24,tourist,4.94177594,52.31232359,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
26,12,Bijlmer-Centrum,You got to love her. @pink #amsterdam #arena #beautifulday #concert #worldtour #beautifultrauma @ Johan Cruijff Are… https://t.co/M43TK9Yqb2,2019-06-16,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
27,12,Bijlmer-Centrum,How cool is Pink?!!!<U+2764><U+FE0F> @pink #beautifultrauma @AmsterdamArenA #amsterdam @ Johan Cruijff ArenA https://t.co/rz1F8BAS6B,2019-06-16,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
28,12,Bijlmer-Centrum,"What. A. Show. <U+0001F525>
That’s it, that’s all I have to say until I’ve processed the experience! <U+0001F60D> #beautifultrauma #pink… https://t.co/50OxfMVQmN",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
29,12,Bijlmer-Centrum,Thanks for the amazing show @pink !! #beautifultraumatour2019 #amsterdam @ Johan Cruijff ArenA https://t.co/azCSmXuhQx,2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
30,12,Bijlmer-Centrum,#beautifultraumatour #donthussleme #perfect #pink #p!nk #amsterdam #amsterdamarena #concert #pinklive @pink @ Johan… https://t.co/EgTuI6UbGv,2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
31,12,Bijlmer-Centrum,"@pink

#pink #p!nk #beautifultraumatour #kickoff #worldtour #rockstar #concert #highlight #amsterdam… https://t.co/jAnqH9PpvG",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
32,12,Bijlmer-Centrum,"You were absolutely amazing! <U+0001F929>
•
•
#beautifultraumatour2019 #amsterdam<U+0001F1F3><U+0001F1F1> #nofilter @ Johan Cruijff ArenA https://t.co/rc1x3Nsj6f",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
33,12,Bijlmer-Centrum,"You were absolutely amazing! <U+0001F929>
•
•
#beautifultraumatour2019 #amsterdam<U+0001F1F3><U+0001F1F1> #nofilter
@stewartsgalaxy @xxveert @ Johan… https://t.co/UJN1fLlzyn",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
34,12,Bijlmer-Centrum,"Si no hay ninguna pregunta más, buenos días y hasta pronto. <U+0001F609><U+0001F31E> 

#Amsterdam #Holanda #Elche #España #RuedaDePrensa… https://t.co/cB99ZnWJYK",2019-06-23,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
35,12,Bijlmer-Centrum,"#throwback to last year when i saw OTR II for the second time <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F451><U+0001F41D> itsmeanoush 
.
.
.
.
.
.
.
#OTRII #ontherun… https://t.co/UFBKN5qZtM",2019-06-19,tourist,4.94219791,52.31391977,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
36,0,Bijlmer-Oost,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kloekhorststraat Amsterdam
 https://t.co/BJSTz5fDIb",2019-06-23,non-tourist,4.970202,52.317679,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
37,0,Bijlmer-Oost,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Gooiseweg Amsterdam
 https://t.co/oZKri1Y82R",2019-06-18,non-tourist,4.961802,52.318562,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
38,0,Bijlmer-Oost,#beautiful #people #models #for @ElsHardjopawiro #showcase #restaurantdesmeltkroes #amsterdam #makeup and… https://t.co/jJG8zHHNzS,2019-06-23,tourist,4.97566,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
39,0,Bijlmer-Oost,@ElsHardjopawiro #supreme #wax #africanprint #design #in #motion #elegant #gracious #showcase #amsterdam… https://t.co/AF9jUi8jgh,2019-06-24,tourist,4.97566,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
40,0,Bijlmer-Oost,The #smallest #woman #between the #beautiful #tall #models @ElsHardjopawiro <U+0001F648> #designer #showcase #with #slippers… https://t.co/zqj20I5nDQ,2019-06-24,tourist,4.97566,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
41,0,Bijlmer-Oost,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel EGoli Amsterdam
 https://t.co/YWmVP63ouY",2019-06-18,non-tourist,4.9618253,52.3242232,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
42,9,Watergraafsmeer,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Ouderkerkerdijk Amsterdam
 https://t.co/EYZ76YPxfg",2019-06-20,non-tourist,4.905835,52.327453,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
44,15,Buitenveldert - Zuidas,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel De Boelelaan Amsterdam
 https://t.co/SvIO8u1G5j",2019-06-15,non-tourist,4.8880442,52.3347362,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
